icao,operator_class,adsb_count,weight
N,ga,570139,570139.0
SWA,commercial,113590,113590.0
AAL,commercial,86715,86715.0
DAL,commercial,86287,86287.0
SKW,commercial,63672,63672.0
UAL,commercial,61360,61360.0
JBU,commercial,27164,27164.0
RPA,commercial,27106,27106.0
EJA,business,25036,25036.0
NKS,commercial,22246,22246.0
ENY,commercial,20964,20964.0
ASA,commercial,20662,20662.0
EDV,commercial,19269,19269.0
JIA,commercial,16073,16073.0
FFT,commercial,14113,14113.0
FDX,cargo,13829,13829.0
UPS,cargo,13537,13537.0
QXE,commercial,8454,8454.0
ASH,commercial,8426,8426.0
LXJ,business,8048,8048.0
AAY,commercial,7348,7348.0
PDT,commercial,6368,6368.0
AWI,commercial,6039,6039.0
UCA,commercial,4918,4918.0
KAP,commercial,4772,4772.0
GJS,commercial,4279,4279.0
ERU,commercial,4114,4114.0
GAJ,commercial,4079,4079.0
CAP,ga,3880,3880.0
ACA,commercial,3302,3302.0
SCX,commercial,3200,3200.0
CNS,commercial,3115,3115.0
GTI,cargo,2941,2941.0
JSX,commercial,2871,2871.0
VAR,commercial,2824,2824.0
JRE,commercial,2764,2764.0
ATN,cargo,2658,2658.0
EJM,business,2572,2572.0
AMF,commercial,2543,2543.0
ASI,commercial,2375,2375.0
SCU,commercial,2351,2351.0
BAW,commercial,2291,2291.0
LFA,commercial,2186,2186.0
FDY,commercial,2124,2124.0
LTA,commercial,2083,2083.0
EPI,commercial,2074,2074.0
WMU,commercial,1865,1865.0
NDU,commercial,1811,1811.0
HAL,commercial,1691,1691.0
TRF,commercial,1653,1653.0
DLH,commercial,1604,1604.0
CFS,cargo,1534,1534.0
LBQ,commercial,1492,1492.0
LYM,commercial,1492,1492.0
JTL,commercial,1466,1466.0
TWY,commercial,1462,1462.0
AFR,commercial,1455,1455.0
FTH,commercial,1447,1447.0
SWQ,commercial,1372,1372.0
VTE,business,1325,1325.0
ABX,cargo,1290,1290.0
GPD,commercial,1271,1271.0
PCM,commercial,1248,1248.0
SCA,commercial,1221,1221.0
OUA,commercial,1188,1188.0
AER,commercial,1176,1176.0
VIR,commercial,1176,1176.0
XOJ,business,1104,1104.0
QTR,commercial,1081,1081.0
WCP,commercial,1074,1074.0
SIL,commercial,1068,1068.0
REH,medevac,1060,1060.0
PHM,commercial,1059,1059.0
XSR,commercial,1053,1053.0
BTQ,commercial,1049,1049.0
VXP,commercial,1027,1027.0
PAT,business,1019,1019.0
JTZ,commercial,1017,1017.0
RVF,commercial,1007,1007.0
MXY,commercial,1003,1003.0
EDG,commercial,987,987.0
DCM,commercial,945,945.0
AVL,commercial,924,924.0
SKQ,commercial,906,906.0
CKS,cargo,896,896.0
MTN,cargo,872,872.0
WIG,cargo,851,851.0
BVN,commercial,831,831.0
OSU,commercial,814,814.0
UAE,commercial,810,810.0
WSN,commercial,769,769.0
AJT,commercial,746,746.0
JIT,commercial,733,733.0
KLM,commercial,732,732.0
FFL,commercial,727,727.0
AIP,commercial,684,684.0
ANA,commercial,684,684.0
FRG,cargo,662,662.0
RTY,commercial,656,656.0
BMJ,commercial,644,644.0
KEN,commercial,611,611.0
JAL,commercial,604,604.0
OST,commercial,595,595.0
IRO,commercial,594,594.0
SLH,commercial,583,583.0
LAK,commercial,576,576.0
NAC,cargo,576,576.0
IBE,commercial,576,576.0
MRA,commercial,572,572.0
BKN,commercial,571,571.0
RAX,cargo,556,556.0
SAS,commercial,555,555.0
CTL,commercial,536,536.0
PAC,cargo,526,526.0
SJN,commercial,511,511.0
CLX,cargo,489,489.0
NJM,business,474,474.0
SIA,commercial,468,468.0
CMD,commercial,460,460.0
CPT,commercial,460,460.0
ERH,rotorcraft,443,443.0
KII,commercial,443,443.0
ILU,commercial,438,438.0
BYA,commercial,434,434.0
COL,commercial,420,420.0
USC,commercial,417,417.0
SNC,cargo,416,416.0
MTU,commercial,413,413.0
MVK,commercial,412,412.0
OKC,commercial,407,407.0
JLG,cargo,406,406.0
WIS,cargo,402,402.0
KFS,commercial,397,397.0
MVP,commercial,389,389.0
BYF,commercial,385,385.0
SVL,commercial,384,384.0
CSI,commercial,372,372.0
BXR,commercial,370,370.0
OZT,commercial,370,370.0
TRP,commercial,362,362.0
QFA,commercial,362,362.0
TIV,commercial,360,360.0
BOE,commercial,351,351.0
KPO,commercial,347,347.0
DSU,commercial,344,344.0
LJY,commercial,342,342.0
XSM,commercial,338,338.0
CSJ,commercial,327,327.0
HPJ,commercial,327,327.0
CYO,commercial,318,318.0
JAS,commercial,317,317.0
PGN,commercial,315,315.0
ROK,commercial,313,313.0
TMB,commercial,309,309.0
PXT,commercial,308,308.0
PJC,commercial,298,298.0
FLC,commercial,297,297.0
GTX,commercial,290,290.0
FDL,commercial,287,287.0
ELY,commercial,287,287.0
SCM,commercial,284,284.0
EMD,commercial,280,280.0
GXA,commercial,276,276.0
RVJ,commercial,274,274.0
ERY,commercial,268,268.0
HGT,commercial,265,265.0
TFF,commercial,265,265.0
FIN,commercial,259,259.0
GLT,commercial,253,253.0
JUS,commercial,253,253.0
RNI,commercial,253,253.0
WWI,business,253,253.0
TSU,cargo,249,249.0
FSP,commercial,248,248.0
SJA,commercial,248,248.0
TNV,commercial,247,247.0
WCC,commercial,247,247.0
LKF,commercial,246,246.0
NTW,commercial,245,245.0
CNV,military,244,244.0
SVX,commercial,243,243.0
SIS,commercial,241,241.0
RCH,military,237,237.0
LYC,cargo,236,236.0
CWG,commercial,233,233.0
DRL,commercial,229,229.0
XLJ,commercial,227,227.0
XSN,commercial,219,219.0
LAN,commercial,214,214.0
VTS,cargo,213,213.0
SJJ,commercial,211,211.0
SUB,cargo,211,211.0
FWK,commercial,204,204.0
GRY,commercial,200,200.0
RGY,commercial,200,200.0
DKT,commercial,191,191.0
MLN,commercial,191,191.0
PFT,commercial,191,191.0
APC,commercial,189,189.0
IJA,commercial,188,188.0
NGF,commercial,188,188.0
WGN,commercial,187,187.0
PEG,commercial,179,179.0
RDN,commercial,177,177.0
XLS,commercial,177,177.0
CMB,commercial,176,176.0
JCM,commercial,176,176.0
YEL,commercial,176,176.0
FTO,commercial,175,175.0
TEK,commercial,175,175.0
KFB,commercial,171,171.0
DLX,commercial,170,170.0
ECJ,commercial,169,169.0
PXG,commercial,168,168.0
UWD,commercial,164,164.0
OAE,commercial,163,163.0
FTD,commercial,162,162.0
IFL,commercial,162,162.0
NUS,commercial,160,160.0
CRE,commercial,159,159.0
JNY,commercial,159,159.0
JKR,commercial,158,158.0
SDU,commercial,158,158.0
PDU,commercial,157,157.0
CSB,commercial,153,153.0
NCR,cargo,153,153.0
WMN,commercial,151,151.0
JCY,commercial,150,150.0
RLJ,commercial,149,149.0
DZR,commercial,145,145.0
GLF,commercial,145,145.0
JRT,commercial,140,140.0
WAE,commercial,139,139.0
CTF,commercial,137,137.0
FTN,commercial,135,135.0
DOJ,commercial,134,134.0
RLI,commercial,133,133.0
GKA,commercial,131,131.0
HER,commercial,130,130.0
RYA,commercial,129,129.0
BLU,commercial,128,128.0
WAL,commercial,128,128.0
AHF,rotorcraft,125,125.0
NEW,commercial,125,125.0
UJC,business,125,125.0
DJR,commercial,124,124.0
HPK,commercial,123,123.0
DOW,commercial,121,121.0
PRE,commercial,121,121.0
KSU,commercial,119,119.0
AJI,business,118,118.0
CSQ,commercial,118,118.0
PWA,commercial,115,115.0
CON,commercial,113,113.0
PRY,commercial,112,112.0
GJE,commercial,111,111.0
ACO,commercial,110,110.0
TEX,commercial,109,109.0
CTE,commercial,108,108.0
ENK,commercial,106,106.0
NFX,commercial,103,103.0
NSH,commercial,103,103.0
STY,commercial,102,102.0
DHR,commercial,99,99.0
EGC,commercial,98,98.0
SJE,commercial,98,98.0
KYE,commercial,97,97.0
PRD,commercial,96,96.0
BLK,commercial,94,94.0
GTW,commercial,92,92.0
CTA,commercial,91,91.0
ELZ,commercial,91,91.0
STT,commercial,91,91.0
FSR,commercial,90,90.0
MVJ,commercial,88,88.0
NCJ,commercial,87,87.0
SFY,commercial,86,86.0
MAD,commercial,85,85.0
MWT,commercial,85,85.0
WML,commercial,83,83.0
XEN,commercial,83,83.0
VET,commercial,82,82.0
CYT,commercial,81,81.0
OLV,commercial,81,81.0
PVO,commercial,81,81.0
MMY,commercial,80,80.0
XAA,commercial,80,80.0
STV,commercial,76,76.0
HOB,commercial,75,75.0
MJS,commercial,75,75.0
KOW,commercial,74,74.0
NKT,commercial,74,74.0
CVR,commercial,73,73.0
PKW,commercial,73,73.0
UCM,commercial,72,72.0
MAK,commercial,70,70.0
ULA,commercial,68,68.0
WDY,commercial,68,68.0
BKA,commercial,67,67.0
PHJ,commercial,67,67.0
CST,commercial,64,64.0
CAK,commercial,63,63.0
CHR,commercial,63,63.0
TKM,commercial,61,61.0
ARZ,commercial,60,60.0
KSF,commercial,60,60.0
AZY,commercial,59,59.0
RJE,business,59,59.0
RSP,commercial,59,59.0
XGN,commercial,59,59.0
FWR,commercial,58,58.0
KAI,commercial,58,58.0
NWF,commercial,58,58.0
CBN,commercial,57,57.0
GDG,commercial,57,57.0
MMN,commercial,57,57.0
FTK,commercial,56,56.0
RKK,commercial,55,55.0
WMA,commercial,55,55.0
BOG,commercial,54,54.0
TKK,commercial,51,51.0
JSL,commercial,50,50.0
LRT,business,50,50.0
IFG,commercial,49,49.0
CME,commercial,48,48.0
JTM,commercial,48,48.0
BTZ,commercial,47,47.0
CCQ,commercial,47,47.0
LFG,commercial,47,47.0
VYR,commercial,47,47.0
KCR,commercial,46,46.0
CMF,commercial,45,45.0
SIY,commercial,44,44.0
GRP,commercial,43,43.0
NJZ,commercial,43,43.0
SPA,commercial,43,43.0
AXQ,commercial,42,42.0
FDJ,commercial,42,42.0
NIT,commercial,42,42.0
SAM,military,42,42.0
SUP,commercial,42,42.0
MGE,commercial,40,40.0
FFS,commercial,38,38.0
HPN,commercial,38,38.0
RJC,commercial,38,38.0
HRC,commercial,37,37.0
JKA,commercial,37,37.0
SWD,commercial,37,37.0
TBL,commercial,37,37.0
MJR,commercial,36,36.0
HON,commercial,35,35.0
HGE,commercial,34,34.0
JSP,commercial,34,34.0
WSP,commercial,33,33.0
GRB,commercial,32,32.0
RQT,commercial,31,31.0
IDD,commercial,30,30.0
IJW,commercial,30,30.0
OTA,commercial,30,30.0
BGR,commercial,28,28.0
DVY,commercial,27,27.0
MDS,commercial,27,27.0
PLZ,commercial,27,27.0
FJS,commercial,26,26.0
HNW,commercial,26,26.0
EAL,commercial,25,25.0
PVA,commercial,25,25.0
CJE,business,24,24.0
FTP,commercial,24,24.0
OPT,business,24,24.0
OME,commercial,22,22.0
XFL,commercial,22,22.0
RUF,commercial,20,20.0
TTE,commercial,20,20.0
AUD,commercial,19,19.0
FST,commercial,19,19.0
GLH,commercial,19,19.0
SKZ,commercial,19,19.0
COO,commercial,17,17.0
RKS,business,17,17.0
SXL,commercial,17,17.0
MAO,commercial,16,16.0
KWX,commercial,15,15.0
HDM,commercial,14,14.0
IDT,commercial,14,14.0
JPR,commercial,14,14.0
SFE,medevac,14,14.0
TMC,commercial,14,14.0
WDW,commercial,14,14.0
HRF,commercial,12,12.0
AUU,commercial,11,11.0
BKS,commercial,11,11.0
LAC,commercial,11,11.0
RCA,commercial,11,11.0
BKM,commercial,10,10.0
CVF,commercial,10,10.0
LSO,commercial,10,10.0
RAP,rotorcraft,10,10.0
XCN,commercial,10,10.0
FFY,commercial,9,9.0
JPL,commercial,9,9.0
MHF,commercial,9,9.0
MTH,commercial,9,9.0
OMD,commercial,9,9.0
BXX,commercial,8,8.0
CXF,commercial,8,8.0
CYA,commercial,8,8.0
ELX,commercial,8,8.0
QAI,commercial,8,8.0
RDY,commercial,8,8.0
SCN,commercial,8,8.0
SRY,commercial,8,8.0
ARMY,military,7,7.0
DOG,commercial,6,6.0
FGR,commercial,6,6.0
JCT,business,6,6.0
LEX,commercial,6,6.0
SGO,commercial,6,6.0
AAH,cargo,0,5
AAI,commercial,0,5
AAK,commercial,0,5
ACD,commercial,0,5
ACE,commercial,0,5
ACK,commercial,0,5
ACT,commercial,0,5
AGM,commercial,0,5
AIO,military,0,5
AJC,commercial,0,5
AJW,commercial,0,5
ALC,commercial,0,5
ALO,commercial,0,5
AMI,commercial,0,5
AMR,commercial,0,5
APE,commercial,0,5
APH,commercial,0,5
APW,commercial,0,5
ARB,commercial,0,5
ARF,commercial,4,5
ARR,commercial,0,5
ARX,commercial,0,5
ASQ,commercial,0,5
ASZ,commercial,2,5
AXO,commercial,0,5
AYA,commercial,0,5
BAD,commercial,0,5
BAJ,commercial,0,5
BAK,commercial,0,5
BAP,commercial,0,5
BBQ,commercial,0,5
BCH,commercial,0,5
BCK,commercial,0,5
BCU,cargo,0,5
BDG,commercial,0,5
BEN,commercial,0,5
BEZ,commercial,0,5
BFC,commercial,0,5
BGB,commercial,1,5
BGE,commercial,1,5
BHR,commercial,2,5
BIA,commercial,1,5
BIG,commercial,0,5
BIN,commercial,0,5
BIR,commercial,0,5
BIT,commercial,0,5
BJK,commercial,0,5
