icao,company,country,telephony,operator_class
AAH,"AEKO KULA, INC. D/B/A ALOHA AIR CARGO (HONOLULU, HI)",UNITED STATES,Aloha,cargo
AAI,"AIR AURORA, INC. (SUGAR GROVE, IL)",UNITED STATES,Borealis,commercial
AAK,"ALASKA ISLAND AIR, INC. (ANCHORAGE, AK)",UNITED STATES,Alaska Island,commercial
AAL,AMERICAN AIRLINES INC.,UNITED STATES,American,commercial
AAY,"ALLEGIANT AIR, INC. (FRESNO, CA)",UNITED STATES,Allegiant,commercial
ABX,"ABX AIR, INC. (WILMINGTON, OH)",UNITED STATES,Abex,cargo
ACD,"ACADEMY AIRLINES (GRIFFIN, GA)",UNITED STATES,Academy,commercial
ACE,AVIATION ACES,UNITED STATES,Sky Ace,commercial
ACK,"NANTUCKET AIRLINES (NANTUCKET, MA)",UNITED STATES,Ack Air,commercial
ACO,"AIR CHOICE ONE (ST. LOUIS, MO)",UNITED STATES,Weber,commercial
ACT,"FLIGHT LINE, INC. (DENVER, CO)",UNITED STATES,American Check,commercial
AER,"ALASKA CENTRAL EXPRESS, INC. (FAIRBANKS, AK)",UNITED STATES,Ace Air,commercial
AGM,"AVIATION WEST CHARTERS (SCOTTSDALE, AZ)",UNITED STATES,Angel Med,commercial
AHF,"ASPEN HELICOPTERS, INC. (OXNARD, CA)",UNITED STATES,Aspen,rotorcraft
AIO,"CHIEF OF STAFF, UNITED STATES AIR FORCE (ANDREWS AFB, MD)",UNITED STATES,Air Chief,military
AIP,"ALPINE AVIATION, INC. (PROVO, UT)",UNITED STATES,Alpine Air,commercial
AJC,"BAR HARBOR AIRLINES (BANGOR, ME)",UNITED STATES,Bar Harbor,commercial
AJI,"AMERISTAR JET CHARTER, INC. (DALLAS, TX)",UNITED STATES,Ameristar,business
AJT,"AMERIJET INTERNATIONAL (FT.LAUDERDALE, FL)",UNITED STATES,Amerijet,commercial
AJW,"ALPHA JET INTERNATIONAL (SHEFFIELD, AL)",UNITED STATES,Alphajet,commercial
ALC,"SOUTHERN JERSEY AIRWAYS, INC. (ATLANTIC CITY, NJ)",UNITED STATES,Acom,commercial
ALO,"PENNSYLVANIA COMMUTER AIRLINES, INC. (MIDDLETOWN, PA)",UNITED STATES,Allegheny,commercial
AMF,"AMERIFLIGHT, INC. (BURBANK, CA)",UNITED STATES,Amflight,commercial
AMI,"AIR AMERICA, INC. (CAROLINA, PR)",UNITED STATES,Airmek,commercial
AMR,"AIR SPECIALTIES CORPORATION D/B/A/ AIR AMERICA/TOTAL AIR (LOS ANGELES, CA)",UNITED STATES,Air Am,commercial
APC,"AIRPAC (SEATTLE, WA)",UNITED STATES,Airpac,commercial
APE,"PARCEL EXPRESS (DENVER, CO)",UNITED STATES,Air Parcel,commercial
APH,"ALPHA AVIATION, INC. (DALLAS, TX)",UNITED STATES,Airflight,commercial
APW,"ALPHA THREE AVIATION, INC",UNITED STATES,Triple Ace,commercial
ARB,AIRBAHN,UNITED STATES,Airbahn,commercial
ARF,ANIMAL RESCUE FLIGHTS,UNITED STATES,Animal Flights,commercial
ARMY,"U.S. ARMY (PSEUDO-OPERATOR, ROLE TELEPHONY)",UNITED STATES,Army,military
ARR,AVALAIR AIRCRAFT MANAGEMENT LLC,UNITED STATES,Avalair,commercial
ARX,"AIR XPRESS, INC, (GREENSBORO, NC)",UNITED STATES,Airex,commercial
ARZ,AIRBORNE IMAGING,UNITED STATES,Airborne,commercial
ASA,ALASKA AIRLINES INC.,UNITED STATES,Alaska,commercial
ASH,"MESA AVIATION SERVICES, INC. (FARMINGTON, NM)",UNITED STATES,Air Shuttle,commercial
ASI,"AEROGUARD FLIGHT TRAINING CENTER (PHOENIX, AZ)",UNITED STATES,Aerosun,commercial
ASQ,EXPRESSJET AIRLINES,UNITED STATES,Acey,commercial
ASZ,"ASCENSION AIR MANAGEMENT, INC. (ATLANTA, GA)",UNITED STATES,Ascension,commercial
ATN,"AIR TRANSPORT INTERNATIONAL (LITTLE ROCK, AR)",UNITED STATES,Air Transport,cargo
AUD,"TRANS NORTHERN AIRWAYS, LLC",UNITED STATES,Genie,commercial
AUU,AURORA FLIGHT SCIENCES,UNITED STATES,Argo,commercial
AVL,"AVIATION ADVENTURES (MANASSAS, VA)",UNITED STATES,Sky Ventures,commercial
AWI,"AIR WISCONSIN AIRLINES CORPORATION (APPLETON, WI)",UNITED STATES,Wisconsin,commercial
AXO,FENIX AIR CHARTER,UNITED STATES,Axio,commercial
AXQ,ACTION AIRLINES (ACTION AIR CHARTER),UNITED STATES,Action Air,commercial
AYA,"FEDERAL AVIATION ADMINISTRATION (FAA) ACADEMY (OKLAHOMA CITY, OK)",UNITED STATES,Academy Air,commercial
AZY,"AZTEC WORLDWIDE AIRLINES, INC. (FT. LAUDERDALE, FL)",UNITED STATES,Aztec World,commercial
BAD,"FLIGHT DEVELOPMENT, LLC (WATKINS, CO)",UNITED STATES,Badlands,commercial
BAJ,"BAKER AVIATION, INC. (KOTZEBUE, AK)",UNITED STATES,Baker Aviation,commercial
BAK,"BLACKHAWK AIRWAYS, INC. (JANESVILLE, WI)",UNITED STATES,Blackhawk,commercial
BAP,TRANS INTERNATIONAL EXPRESS AVIATION,UNITED STATES,Big Apple,commercial
BBQ,"EASTERN AIR EXPRESS, LLC",UNITED STATES,Eastern Express,commercial
BCH,"PHILLIPS AIR (DEL RIO, TX)",UNITED STATES,Beachball,commercial
BCK,"PRIORITY AVIATION COMPANY, INC (KANSAS CITY, MO)",UNITED STATES,Bankcheck,commercial
BCU,BOND AIR CARGO,UNITED STATES,Bacair,cargo
BDG,"MISSISSIPPI STATE UNIVERSITY, MS",UNITED STATES,Bulldog,commercial
BEN,"SCHWEITZER ENGINEERING LABORATORIES, INC.",UNITED STATES,Franklin,commercial
BEZ,"KINGFISHER AIR SERVICES (SAN JUAN, PR)",UNITED STATES,Sea Breeze,commercial
BFC,"BASLER FLIGHT SERVICE, INC. (OSHKOSH, WI)",UNITED STATES,Basler,commercial
BGB,BIG BEND COMMUNITY COLLEGE,UNITED STATES,Big Bend,commercial
BGE,AEROBRIDGE,UNITED STATES,Aerobridge,commercial
BGR,BRIDGER AEROSPACE,UNITED STATES,Bridger,commercial
BHR,"BIGHORN AIRWAYS, INC. (SHERIDAN, WY)",UNITED STATES,Bighorn Air,commercial
BIA,BOHLKE INTERNATIONAL AIRWAYS,UNITED STATES,Bohlke,commercial
BIG,"BIG ISLAND AIR, INC. (KAILUA - KONA, HI)",UNITED STATES,Big Isle,commercial
BIN,"BOISE INTERAGENCY FIRE CENTER (BOISE, ID)",UNITED STATES,Bison-air,commercial
BIR,"BIRD LEASING, INC. (NORTH ANDOVER, MA)",UNITED STATES,Bird Air,commercial
BIT,"NORTHEAST AVIATION, INC. (LANSING, IL)",UNITED STATES,Run Bitty,commercial
BJK,"ATLANTIC AIRLINES (ORLANDO, FL)",UNITED STATES,Blackjack,commercial
BJS,"BUSINESS JET SOLUTIONS (DALLAS, TX)",UNITED STATES,Solution,business
BJT,"ACM AVIATION, INC. (SAN JOSE, CA)",UNITED STATES,Bay Jet,commercial
BKA,"BANKAIR, INC. (WEST COLUMBIA, SC)",UNITED STATES,Bankair,commercial
BKB,"STATE OF WEST VIRGINIA, AVIATION DIVISION (CHARLESTON, WV)",UNITED STATES,Black Bear,commercial
BKE,"AIRBROCK MANAGEMENT & CHARTER SERVICES, INC.",UNITED STATES,Air Brock,commercial
BKJ,"BARKEN INTERNATIONAL, INC. (SALT LAKE CITY, UT)",UNITED STATES,Barken Jet,commercial
BKM,"ADVISORS AVIATION (ST. LOUIS, MO)",UNITED STATES,Cardinal,commercial
BKN,SAINT LOUIS UNIVERSITY,UNITED STATES,Billiken,commercial
BKR,"CIVIL AIR PATROL, SOUTH CAROLINA WING (COLUMBIA, SC)",UNITED STATES,Box Kar,commercial
BKS,"ATLANTIC COAST AIRCRAFT SERVICES (READING, PA)",UNITED STATES,Berks,commercial
BLE,"EXECUTIVE AIR SERVICES, LLC (MIAMI, FL)",UNITED STATES,Bluewater,commercial
BLH,"BLUE HORIZON TRAVEL CLUB (CINCINNATI, OH)",UNITED STATES,Blue Horizon,commercial
BLK,USAC AIRWAYS 695 LLC,UNITED STATES,Aero Black,commercial
BLR,METROPOLITAN AVIATION,UNITED STATES,Blueridge,commercial
BLU,"SOLUTIONS AIR CHARTER, LLC (ZIONSVILLE, IN)",UNITED STATES,Bluegrass,commercial
BLY,BLUE RIDGE AERO SERVICES,UNITED STATES,Blue Aero,commercial
BMJ,"BEMIDJI AIRLINES (BEMIDJI, MN)",UNITED STATES,Bemidji,commercial
BMP,"BUNDLED AERIAL MAPPING ASSTS, LLC (HUNTSVILLE, AL)",UNITED STATES,Air Bama,commercial
BMT,"BAHAMAS HABITAT (CARY, NC)",UNITED STATES,Symonette,commercial
BNA,"BUN AIR CORPORATION (BEDFORD, PA)",UNITED STATES,Bun Air,commercial
BNC,"SUNDANCE AIR, INCORPORATED (DENVER, CO)",UNITED STATES,Barnacle Air,commercial
BNS,"VALLEY NATIONAL CORP. D/B/A BANCSTAR (PHOENIX, AZ)",UNITED STATES,Bancstar,commercial
BOE,"BOEING COMMERCIAL AIRPLANE GROUP (SEATTLE, WA)",UNITED STATES,Boeing,commercial
BOG,LIVE OAK BANKING COMPANY,UNITED STATES,Bird Dog,commercial
BPX,"PHOENIX EAST AVIATION, LLC.",UNITED STATES,Blue Phoenix,commercial
BRG,"BERING AIR, INC. (NOME, AK)",UNITED STATES,Bering Air,commercial
BRN,"ECLIPSE AIRLINES, INC. D/B/A BRANSON AIRLINES, INC. (CHANTILLY, VA)",UNITED STATES,Branson,commercial
BRR,"MOUNTAIN AIR SERVICE, INC (BIG BEAR CITY, CA)",UNITED STATES,Mountain Air,commercial
BSK,"MIAMI AIR INTERNATIONAL, INC. (MIAMI, FL)",UNITED STATES,Biscayne,commercial
BST,LONE STAR AVIATORS,UNITED STATES,Big State,commercial
BSY,"BIG SKY AIRLINES (BILLINGS, MT)",UNITED STATES,Big Sky,commercial
BTL,"BALTIA AIR LINES, INC. (JAMAICA, NY)",UNITED STATES,Baltia,commercial
BTQ,BOUTIQUE AIR,UNITED STATES,Boutique,commercial
BTZ,"BRISTOW US, LLC (NEW IBERIA, LA)",UNITED STATES,Bristow Group,commercial
BUG,INNOVATION FIRST,UNITED STATES,Hexbug,commercial
BVA,"BUFFALO AIRWAYS (WACO, TX)",UNITED STATES,Buffalo Air,commercial
BVN,"BARON AVIATION SERVICES, INC. (VICHY, MO)",UNITED STATES,Show-me,commercial
BXJ,"BRIXTEL GROUP, INC. (RESTON, VA)",UNITED STATES,Brixtel Jet,commercial
BXR,"REDDING AERO ENTERPRISES, INC. (REDDING, CA)",UNITED STATES,Boxer,commercial
BXX,BADLANDS AVIATION,UNITED STATES,Strongbox,commercial
BYA,"BERRY AVIATION, INC. (SAN MARCOS, TX)",UNITED STATES,Berry,commercial
BYF,SAN CARLOS FLIGHT CENTER,UNITED STATES,Bay Flight,commercial
BYG,"BYGONE AVIATION, LLC (GUYMON, OK)",UNITED STATES,Bygone,commercial
BZY,"FRESH AIR AVIATION (CHARLEVOIX, MI)",UNITED STATES,Breezy,commercial
CAB,"CHESAPEAKE AIR SERVICE (PASADENA, MD)",UNITED STATES,Chesapeake Air,commercial
CAC,"CONQUEST AIRLINES (BEAUMONT, TX)",UNITED STATES,Conquest Air,commercial
CAK,SOUTHWEST AIRCRAFT CHARTER,UNITED STATES,Cactus,commercial
CAM,"VILLAGE AVIATION, INC. D/B/A CAMAI-AIR (BETHEL, AK)",UNITED STATES,Air Camai,commercial
CAP,"UNITED STATES AIR FORCE AUXILIARY / CIVIL AIR PATROL (RICHMOND, VA)",UNITED STATES,Cap,ga
CAS,"CHRISTMAN AIR SYSTEM (WASHINGTON, PA)",UNITED STATES,Christman,commercial
CBC,"LONGHORN AVIATION, LLC",UNITED STATES,Sky Share,commercial
CBD,"LOCKHEED MARTIN AERONAUTICS (FORT WORTH, TX)",UNITED STATES,Catbird,commercial
CBH,"CORPORATE EAGLE MANAGEMENT SERVICES, INC. (WATERFORD, MI)",UNITED STATES,Club House,commercial
CBN,"SOUTHERN ILLINOIS UNIVERSITY D/B/A FLIGHT SCHOOL (MURPHYSBORO, IL)",UNITED STATES,Carbondale,commercial
CBT,"CATALINA FLYING BOATS, INC. (LONG BEACH, CA)",UNITED STATES,Catalina Air,commercial
CBZ,"NONSTOP AVIATION (BOCA RATON, FL)",UNITED STATES,Cool Breeze,commercial
CCJ,CAPITAL JET CHARTER CORP.,UNITED STATES,Cap Jet,business
CCK,CARLISLE AIR CORPORATION,UNITED STATES,Carlisle Air,commercial
CCP,"GRAND HOLDINGS, INC. CHAMPION AIR (MANHATTAN BEACH, CA)",UNITED STATES,Champion Air,commercial
CCQ,"CAPITAL CITY AIR CARRIERS, INC. (PIERRE, SD)",UNITED STATES,Cap City,commercial
CCY,"CHERRY AIR, INC. (DALLAS, TX)",UNITED STATES,Cherry,commercial
CDL,"SUNBIRD AIRLINES, INC. (CHARLOTTE, NC)",UNITED STATES,Carolina,commercial
CEA,"CORPORATE EXPRESS AIRLINES (NASHVILLE, TN)",UNITED STATES,Corp-x,commercial
CEP,"CHIPOLA AVIATION, INC. (MARIANNA, FL)",UNITED STATES,Chipola,commercial
CFR,"CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION (MCCLELLAN, CA)",UNITED STATES,Calfire,commercial
CFS,"EMPIRE AIRLINES (HAYDEN LAKE, UT)",UNITED STATES,Empire Air,cargo
CFT,"JET FREIGHTERS, INC. (PORTLAND, ME)",UNITED STATES,Casper Freight,commercial
CGA,"CONGRESSIONAL AIR, LTD (GAITHERSBURG, MD)",UNITED STATES,Congressional,commercial
CGG,"WALMART AVIATION (ROGERS, AR)",UNITED STATES,Charge,commercial
CGO,"CHICAGO AIR, INC. (CHICAGO, IL)",UNITED STATES,Wild Onion,commercial
CHA,"CENTRAL FLYING SERVICE, INC. (LITTLE ROCK, AR)",UNITED STATES,Charter Central,commercial
CHE,"TOP FLIGHT AIR SERVICE, INC. (TAMPA, FL)",UNITED STATES,Check Air,commercial
CHK,"FLYING BOAT, INC. D/B/A CHALKS INTERNATIONAL AIRLINES (FT. LAUDERDALE, FL)",UNITED STATES,Chalks,commercial
CHN,"CHANNEL ISLAND AVIATION (OXNARD, CA)",UNITED STATES,Channel,commercial
CHQ,"CHAUTAUQUA AIRLINES (JAMESTOWN, NY)",UNITED STATES,Chautauqua,commercial
CHR,"CHAIRMAN AIRMOTIVE II, LLC",UNITED STATES,Chairman,commercial
CHU,"CHURCH AIRCRAFT LTD (DENVER, CO)",UNITED STATES,Churchair,commercial
CHV,"AIR CHARTER PROFESSIONALS, INC. (OPA LOCKA, FL)",UNITED STATES,Chartair,commercial
CIR,"ARCTIC CIRCLE AIR SERVICE, INC. (FAIRBANKS, AK)",UNITED STATES,Air Arctic,commercial
CIT,"ZANESVILLE AVIATION (ZANESVILLE, OH)",UNITED STATES,Zane,commercial
CJC,"COLGAN AIR (MANASSAS, VA)",UNITED STATES,Colgan,commercial
CJE,"CUSTOM JET CHARTERS, LLC (WEST PALM BEACH, FL)",UNITED STATES,Custom Jet,business
CJI,"CORPORATE JETS, INC. (WEST MIFFLIN, PA)",UNITED STATES,Sea Jet,commercial
CJS,"COMMONWEALTH JET SERVICE, INC. (SANDSTON, VA)",UNITED STATES,Commonwealth,commercial
CJZ,"CALIBER JET CHARTER, LLC (WESTLAKE, OH)",UNITED STATES,Caliber Jet,business
CKA,"COOK INLET AVIATION, INC. (HOMER, AK)",UNITED STATES,Cook-air,commercial
CKE,"CORPORATE AVIATION SERVICES, INC. (TULSA, OK)",UNITED STATES,Checkmate,commercial
CKR,CROWN AIR SYSTEMS,UNITED STATES,Crown Air,commercial
CKS,"KALITTA AIR, LLC (YPSILANTI, MI)",UNITED STATES,Connie,cargo
CLE,"COLEMILL ENTERPRISES (NASHVILLE, TN)",UNITED STATES,Colemill,commercial
CLK,"CLARK AVIATION CORP. (NEW CUMBERLAND, PA)",UNITED STATES,Clarkair,commercial
CLR,"TRANS AMERICA (ENGLEWOOD, CO)",UNITED STATES,Clinton Airways,commercial
CLY,"CLAY LACY AVIATION (SEATTLE, WA)",UNITED STATES,Clay-lacy,commercial
CMB,US TRANSPORTATION COMMAND,UNITED STATES,Camber,commercial
CMD,CALSTAR,UNITED STATES,Calstar Med,commercial
CME,COMMERCE BANK,UNITED STATES,Commerce Bank,commercial
CMF,"AIR CARE ALLIANCE (STORRS, CT)",UNITED STATES,Compassion,commercial
CMI,"CONTINENTAL MICRONESIA, INC. (TAMUNING, GUAM)",UNITED STATES,Air Mike,commercial
CMN,"ECKLES AIRCRAFT CO. (HOLDENVILLE, OK)",UNITED STATES,Cimmaron Aire,commercial
CMT,"CASEMENT AVIATION (PLAINESVILLE, OH)",UNITED STATES,Casement,commercial
CNG,"COASTAL AIRWAYS (GULFPORT, MS)",UNITED STATES,Sid-air,commercial
CNL,"CENTENNIAL AIRLINES, INC. (LARAMIE, WY)",UNITED STATES,Wyo-air,commercial
CNR,"CONDOR AERO SERVICES, INC. (CULLMAN, AL)",UNITED STATES,Conaero,commercial
CNS,"COBALT AIR, LLC (PORTSMOUTH NH)",UNITED STATES,Chronos,commercial
CNV,"US NAVY AIR LOGISTICS OFFICE (NEW ORLEANS, LA)",UNITED STATES,Convoy,military
COAST,"U.S. COAST GUARD (PSEUDO-OPERATOR, ROLE TELEPHONY)",UNITED STATES,Coast Guard,military
COL,SC AVIATION INC.,UNITED STATES,Colony,commercial
COM,"COMAIR, INC. (CINCINNATI, OH)",UNITED STATES,Comair,commercial
CON,CONOCOPHILLIPS CO.,UNITED STATES,Conoco,commercial
COO,"COVE PARTNERS, LLC.",UNITED STATES,Cove,commercial
COP,"COPPER STATE AIR SERVICE, INC. (MESA, AZ)",UNITED STATES,Copper State,commercial
COS,"AIR 7, LLC",UNITED STATES,Coastal Jet,commercial
CPF,"U S AIR FORCE AUXILIARY, CIVIL AIR PATROL (MAXWELL AFB, AL)",UNITED STATES,Cap-flight,ga
CPL,"CHAPARRAL AIRLINES (ABILENE, TX)",UNITED STATES,Chaparral,commercial
CPO,"CORPORATE AIRCRAFT COMPANY (GARDNER, KS)",UNITED STATES,Mokan,commercial
CPT,"CORPORATE AIR (BILLINGS, MT)",UNITED STATES,Air Spur,commercial
CPX,"CAPITAL AIR SERVICE, INC. (MANHATTAN, KS)",UNITED STATES,Capair,commercial
CRE,"JET OUT, LLC",UNITED STATES,Cream City,commercial
CRO,"CROWN AIRWAYS, INC. (DUBOIS, PA)",UNITED STATES,Crown Airways,commercial
CSB,"21-AIR, LLC",UNITED STATES,Cargo South,commercial
CSD,"COURIER SERVICES, INC. (TEMPE, AZ)",UNITED STATES,Delivery,commercial
CSI,"CSI AVIATION, INC.",UNITED STATES,Sandia,commercial
CSJ,"CASTLE AVIATION, INC. (RAVENNA, OH)",UNITED STATES,Castle,commercial
CSK,"FLIGHTCRAFT, INC. (PORTLAND, OR)",UNITED STATES,Cascade,commercial
CSL,"MINSON AVIATION, INC. D/B/A CALIFORNIA AIR SHUTTLE (OXNARD, CA)",UNITED STATES,California Shuttle,commercial
CSO,"CASINO AIRLINES, INC. (SHREVEPORT, LA)",UNITED STATES,Casair,commercial
CSP,"CASPER AIR SERVICE, INC.(CASPER, WY)",UNITED STATES,Casper Air,commercial
CSQ,"IBC AIRWAYS, INC. (MIAMI, FL)",UNITED STATES,Chasqui,commercial
CST,"SHORELINE AVIATION, INC.",UNITED STATES,Shoreline,commercial
CSX,"CHOICE AIRWAYS, INC. (SUNRISE, FL)",UNITED STATES,Choice Air,commercial
CTA,"AERO CHARTER AND TRANSPORT (ALBUQUERQUE, NM)",UNITED STATES,Char-tran,commercial
CTE,"ATLANTA AIR CHARTER, INC.",UNITED STATES,Cornerstone,commercial
CTF,CUTTER AVIATION (PHOENIX AZ),UNITED STATES,Cutter Flight,commercial
CTL,"CENTRAL AIR SOUTHWEST, INC. (CUSHING, OK)",UNITED STATES,Central Commuter,commercial
CTP,"CTP AVIATION, LLC",UNITED STATES,Woodside,commercial
CTT,"CUSTOM AIR TRANSPORT, INC. (DANIA, FL)",UNITED STATES,Catt,commercial
CTY,"CRYDERMAN AIR SERVICE (DRAYTON PLAINS, MI)",UNITED STATES,Century,commercial
CUJ,"CLUB JET CHARTER, LLC",UNITED STATES,Club Jet,business
CUL,COULSON AVIATION USA,UNITED STATES,Coulson,commercial
CVF,"DASSAULT FALCON JET CORPORATION (S. HACKENSACK, NJ)",UNITED STATES,Cloverleaf,commercial
CVR,"CHEVRON U.S.A. (NEW ORLEANS, LA)",UNITED STATES,Chevron,commercial
CVU,"GRAND CANYON AIRLINES, INC. (GRAND CANYON, AZ)",UNITED STATES,Canyon View,commercial
CWC,"CENTURION AIR CARGO, INC. (MIAMI, FL)",UNITED STATES,Challenge Cargo,cargo
CWG,WING AVIATION,UNITED STATES,Clear Wing,commercial
CWX,"CROW EXECUTIVE AIR, INC. (MILLBURY, OH)",UNITED STATES,Crow Express,commercial
CWZ,"CAPITOL WINGS AIRLINE, INC. (AUSTIN, TX)",UNITED STATES,Capwings,commercial
CXF,VCAP AVIATION LLC,UNITED STATES,Cards Flight,commercial
CXK,ATP FLIGHT SCHOOL,UNITED STATES,Career Track,commercial
CXS,"BOSTON-MAINE AIRWAYS (PORTSMOUTH, NH)",UNITED STATES,Clipper Connection,commercial
CXT,"COASTAL AIR TRANSPORT (CHRISTIANSTED, ST. CROIX)",UNITED STATES,Coastal,commercial
CYA,"CHEYENNE AIRWAYS, INC. (CHEYENNE, WY)",UNITED STATES,Cheyenne Air,commercial
CYC,CIRCADIAN AVIATION LLC,UNITED STATES,Circadian,commercial
CYO,ATI JET INC,UNITED STATES,Coyote,commercial
CYT,CRYSTAL AIR,UNITED STATES,Crystal Air,commercial
DAA,"DECATUR AVIATION, INC. (DECATUR, IL)",UNITED STATES,Decur,commercial
DAL,"DELTA AIR LINES, INC.",UNITED STATES,Delta,commercial
DAZ,DESERT AIR TRANSPORT INC,UNITED STATES,Dezert Air,commercial
DBA,"AIR ALPHA, INC. (CINCINNATI, OH)",UNITED STATES,Double-a,commercial
DBC,"GEMINI AIR GROUP, INC. (SCOTTSDALE, AZ)",UNITED STATES,Diamond Back,commercial
DCM,"FLTPLAN, LLC (SOUTHBURY, CT)",UNITED STATES,Dot Com,commercial
DDA,"D & D AVIATION (SALT LAKE CITY, UT)",UNITED STATES,Dusty,commercial
DEE,"TRANSPORTATION AMERICA CORPORATION D/B/A DIXIE AIRWAYS (NASHVILLE, TN)",UNITED STATES,Tacair,commercial
DFS,"DWYER AIRCRAFT SALES, INC. (MASON CITY, IA)",UNITED STATES,Dwyair,commercial
DGT,"DIGITAL EQUIPMENT CORPORATION (MAYNARD, MA)",UNITED STATES,Digital,commercial
DHL,"ASTAR AIR CARGO (MIAMI, FL)",UNITED STATES,Dahl,cargo
DHR,"CREAMER PILOT SERVICES, LLC",UNITED STATES,Dark Horse,commercial
DIA,"DIRECT AIR, INC.",UNITED STATES,Blue Sky,commercial
DJR,"DESERT JET, LLC (THERMAL, CA)",UNITED STATES,Desert Jet,commercial
DKT,"BUSINESS AVIATION COURIER, INC. (SIOUX FALLS, SD)",UNITED STATES,Dakota,commercial
DLX,"DREAMLINE AVIATION, LLC (SAN FRANCISCO, CA)",UNITED STATES,Dreamline,commercial
DOG,CANINE COMPANIONS FOR INDEPENDENCE,UNITED STATES,Canine Flight,commercial
DOI,"U.S. DEPARTMENT OF THE INTERIOR, OFFICE OF AIRCRAFT SERVICES, (BOISE, ID)",UNITED STATES,Interior,commercial
DOJ,"UNITED STATES DEPARTMENT OF JUSTICE PRISONER AND ALIEN TRANSPORTATION SERVICE (JPATS) (EL PASO, TX)",UNITED STATES,Justice,commercial
DOL,"EBSCO, INC. D/B/A MILLION AIR LONGVIEW (LONGVIEW, TX)",UNITED STATES,Dollar Sign,commercial
DOS,"UNITED STATES GOVERNMENT, DEPARTMENT OF STATE INL/A",UNITED STATES,Dosair,commercial
DOW,"BEST JETS INTERNATIONAL (MINNEAPOLIS, MN)",UNITED STATES,Downtown,commercial
DPS,"ALABAMA DEPARTMENT OF PUBLIC SAFETY (MONTGOMERY, AL)",UNITED STATES,Blue-gray,commercial
DRE,"MICHIGAN AIRWAYS, INC. D/B/A DRUMMOND ISLAND AIR (DRUMMOND ISLAND, MI)",UNITED STATES,Michigan,commercial
DRL,"OMNI AIR TRANSPORT, LLC (TULSA, OK)",UNITED STATES,Driller,commercial
DRS,"DREAMSHORE AERO (BAR HARBOR, ME)",UNITED STATES,Dreamshore,commercial
DSA,"DANBURY AIRWAYS, INC. (DANBURY, CT)",UNITED STATES,Danbury Airways,commercial
